,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
368,HP,Spectre,Core i5,8 GB GB,512 GB,0 GB,114990
369,DELL,DELL,Core i5,8 GB GB,512 GB,0 GB,65990
370,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,88990
371,Lenovo,X390,Core i5,8 GB GB,512 GB,0 GB,113590
372,Mi,Notebook,Core i5,8 GB GB,512 GB,0 GB,54990
373,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,73990
374,LG,Gram,Core i5,8 GB GB,512 GB,0 GB,86990
375,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,61000
376,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,99990
377,Lenovo,ThinkPad,Core i5,8 GB GB,512 GB,0 GB,67990
378,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,70799
380,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,53690
381,MSI,Modern,Core i5,8 GB GB,512 GB,0 GB,55990
382,ASUS,VivoBook,Core i5,8 GB GB,512 GB,0 GB,53190
383,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,58999
385,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,82000
386,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,84990
387,Lenovo,Thinpad,Core i5,8 GB GB,512 GB,0 GB,89998
390,Lenovo,IdeaPad,Core i5,8 GB GB,512 GB,0 GB,69899
391,DELL,Inpiron,Core i5,8 GB GB,512 GB,0 GB,79990
392,DELL,GAMING,Core i5,8 GB GB,512 GB,0 GB,76300
393,Lenovo,Ideapad,Core i5,8 GB GB,512 GB,0 GB,55999
394,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,72900
395,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,73990
397,DELL,Missing,Core i5,8 GB GB,512 GB,0 GB,73519
398,HP,Spectre,Core i5,8 GB GB,512 GB,0 GB,126000
399,lenovo,Yoga,Core i5,8 GB GB,0 GB,512 GB,171998
400,ASUS,ASUS,Core i5,8 GB GB,512 GB,0 GB,88990
401,HP,HP,Core i5,8 GB GB,512 GB,0 GB,114999
402,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,82990
403,acer,Intel,Core i5,8 GB GB,512 GB,0 GB,109999
404,Lenovo,Yoga,Core i5,8 GB GB,512 GB,0 GB,82990
406,ASUS,ZenBook,Core i5,8 GB GB,512 GB,0 GB,114990
407,HP,Spectre,Core i5,8 GB GB,512 GB,0 GB,129999
408,MSI,GS,Core i5,8 GB GB,512 GB,0 GB,149990
409,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,71290
410,DELL,Inspiron,Core i5,8 GB GB,512 GB,0 GB,79500
